SETTLEMENTDATE,SOLAR
2016-11-01 22:20:00,0
2016-11-01 22:25:00,0
2016-11-01 22:30:00,0
2016-11-01 22:35:00,0
2016-11-01 22:40:00,0
2016-11-01 22:45:00,0
2016-11-01 22:50:00,0
2016-11-01 22:55:00,0
2016-11-01 23:00:00,0
2016-11-01 23:05:00,0
2016-11-01 23:10:00,0
2016-11-01 23:15:00,0
2016-11-01 23:20:00,0
2016-11-01 23:25:00,0
2016-11-01 23:30:00,0
2016-11-01 23:35:00,0
2016-11-01 23:40:00,0
2016-11-01 23:45:00,0
2016-11-01 23:50:00,0
2016-11-01 23:55:00,0
2016-11-02 00:00:00,0
