SETTLEMENTDATE,WIND
2016-11-01 19:55:00,0.6917539491
2016-11-01 20:00:00,0.6849955686
2016-11-01 20:05:00,0.676349694
2016-11-01 20:10:00,0.7153374334
2016-11-01 20:15:00,0.7030771456
2016-11-01 20:20:00,0.7065940066
2016-11-01 20:25:00,0.6803831978
2016-11-01 20:30:00,0.6874038967
2016-11-01 20:35:00,0.7094196986
2016-11-01 20:40:00,0.7069619374
2016-11-01 20:45:00,0.7031650817
2016-11-01 20:50:00,0.6965617514
2016-11-01 20:55:00,0.6983143799
2016-11-01 21:00:00,0.6702524501
2016-11-01 21:05:00,0.6612718818
2016-11-01 21:10:00,0.6561581655
2016-11-01 21:15:00,0.6291548984
2016-11-01 21:20:00,0.6166266378
2016-11-01 21:25:00,0.639503177
2016-11-01 21:30:00,0.6280486882
2016-11-01 21:35:00,0.6383114146
2016-11-01 21:40:00,0.6456580582
2016-11-01 21:45:00,0.6339434418
2016-11-01 21:50:00,0.6337381623
2016-11-01 21:55:00,0.616740762
2016-11-01 22:00:00,0.6355272031
2016-11-01 22:05:00,0.6494976326
2016-11-01 22:10:00,0.6162836446
2016-11-01 22:15:00,0.6132874906
2016-11-01 22:20:00,0.5916792313
2016-11-01 22:25:00,0.5666771039
2016-11-01 22:30:00,0.553480924
2016-11-01 22:35:00,0.5430384687
2016-11-01 22:40:00,0.5452074351
2016-11-01 22:45:00,0.5484790115
2016-11-01 22:50:00,0.5487879469
2016-11-01 22:55:00,0.5605320902
2016-11-01 23:00:00,0.5676220404
2016-11-01 23:05:00,0.5774846078
2016-11-01 23:10:00,0.5742590865
2016-11-01 23:15:00,0.5481410596
2016-11-01 23:20:00,0.5273244258
2016-11-01 23:25:00,0.5119425901
2016-11-01 23:30:00,0.523197566
2016-11-01 23:35:00,0.513138981
2016-11-01 23:40:00,0.504541858
2016-11-01 23:45:00,0.4924126427
2016-11-01 23:50:00,0.4876003536
2016-11-01 23:55:00,0.4615886717
2016-11-02 00:00:00,0.4405790513
